Maskapai,Kode Bandara Asal,Nama Bandara Asal,Kota Bandara Asal,Negara Bandara Asal,Kode Bandara Tujuan,Nama Bandara Tujuan,Kota Bandara Tujuan,Negara Bandara Tujuan,Rute,Bobot
GA,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BDJ', 'CGK')",4
GA,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BDJ', 'SUB')",4
GA,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BEJ', 'BPN')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,"('BEJ', 'BPN')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BPN', 'CGK')",5
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('BPN', 'MDC')",2
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BPN', 'SUB')",4
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,TRK,Juwata Airport,Taraken,Indonesia,"('BPN', 'TRK')",3
GA,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('BPN', 'UPG')",4
GA,BTH,Hang Nadim International Airport,Batam,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTH', 'CGK')",4
GA,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTJ', 'CGK')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'CGK')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'CGK')",5
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTH,Hang Nadim International Airport,Batam,Indonesia,"('BTH', 'CGK')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,"('BTJ', 'CGK')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DJJ,Sentani International Airport,Jayapura,Indonesia,"('CGK', 'DJJ')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('CGK', 'DPS')",7
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('CGK', 'LOP')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('CGK', 'MDC')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PDG,Minangkabau International Airport,Padang,Indonesia,"('CGK', 'PDG')",4
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,"('CGK', 'PKU')",6
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,"('CGK', 'PKY')",2
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PNK,Supadio Airport,Pontianak,Indonesia,"('CGK', 'PNK')",3
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('CGK', 'SUB')",6
GA,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('CGK', 'UPG')",4
GA,DJJ,Sentani International Airport,Jayapura,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'DJJ')",3
GA,DJJ,Sentani International Airport,Jayapura,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('DJJ', 'UPG')",3
GA,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'DPS')",7
GA,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,LBJ,Komodo Airport,Labuhan Bajo,Indonesia,"('DPS', 'LBJ')",2
GA,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('DPS', 'LOP')",2
GA,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('DPS', 'SUB')",4
GA,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('DPS', 'UPG')",3
GA,LBJ,Komodo Airport,Labuhan Bajo,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('DPS', 'LBJ')",2
GA,LOP,Lombok International Airport,Praya,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'LOP')",2
GA,LOP,Lombok International Airport,Praya,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('DPS', 'LOP')",2
GA,LOP,Lombok International Airport,Praya,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('LOP', 'SUB')",3
GA,LOP,Lombok International Airport,Praya,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('LOP', 'UPG')",1
GA,MDC,Sam Ratulangi Airport,Manado,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'MDC')",2
GA,MDC,Sam Ratulangi Airport,Manado,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'MDC')",3
GA,MDC,Sam Ratulangi Airport,Manado,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('MDC', 'UPG')",2
GA,PDG,Minangkabau International Airport,Padang,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PDG')",4
GA,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PKU')",6
GA,PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PKY')",2
GA,PNK,Supadio Airport,Pontianak,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PNK')",3
GA,SUB,Juanda International Airport,Surabaya,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'SUB')",4
GA,SUB,Juanda International Airport,Surabaya,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'SUB')",4
GA,SUB,Juanda International Airport,Surabaya,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'SUB')",6
GA,SUB,Juanda International Airport,Surabaya,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('DPS', 'SUB')",4
GA,SUB,Juanda International Airport,Surabaya,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('LOP', 'SUB')",3
GA,SUB,Juanda International Airport,Surabaya,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('SUB', 'UPG')",4
GA,TRK,Juwata Airport,Taraken,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'TRK')",3
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'UPG')",4
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'UPG')",4
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,DJJ,Sentani International Airport,Jayapura,Indonesia,"('DJJ', 'UPG')",3
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('DPS', 'UPG')",3
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('LOP', 'UPG')",1
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('MDC', 'UPG')",2
GA,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('SUB', 'UPG')",4
ID,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BPN', 'CGK')",5
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'CGK')",5
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DJJ,Sentani International Airport,Jayapura,Indonesia,"('CGK', 'DJJ')",3
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('CGK', 'DPS')",7
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('CGK', 'MDC')",3
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,"('CGK', 'PKU')",6
ID,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('CGK', 'SUB')",6
ID,DJJ,Sentani International Airport,Jayapura,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'DJJ')",3
ID,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'DPS')",7
ID,MDC,Sam Ratulangi Airport,Manado,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'MDC')",3
ID,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PKU')",6
ID,SUB,Juanda International Airport,Surabaya,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'SUB')",6
IL,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,"('BDJ', 'PKN')",1
IL,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BDJ', 'SUB')",4
IL,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,"('CGK', 'PKN')",1
IL,KTG,Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,"('KTG', 'PKN')",1
IL,KTG,Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,PNK,Supadio Airport,Pontianak,Indonesia,"('KTG', 'PNK')",1
IL,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'PKN')",1
IL,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'PKN')",1
IL,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,KTG,Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,"('KTG', 'PKN')",1
IL,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('PKN', 'SUB')",1
IL,PNK,Supadio Airport,Pontianak,Indonesia,KTG,Ketapang(Rahadi Usman) Airport,Ketapang,Indonesia,"('KTG', 'PNK')",1
IL,SUB,Juanda International Airport,Surabaya,Indonesia,PKN,Iskandar Airport,Pangkalan Bun,Indonesia,"('PKN', 'SUB')",1
JT,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BDJ', 'BPN')",2
JT,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BDJ', 'CGK')",4
JT,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BDJ', 'SUB')",4
JT,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BEJ', 'BPN')",3
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'BPN')",2
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BEJ,Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,"('BEJ', 'BPN')",3
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,BTH,Hang Nadim International Airport,Batam,Indonesia,"('BPN', 'BTH')",1
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BPN', 'CGK')",5
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('BPN', 'MDC')",2
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BPN', 'SUB')",4
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,TRK,Juwata Airport,Taraken,Indonesia,"('BPN', 'TRK')",3
JT,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('BPN', 'UPG')",4
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'BTH')",1
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTH', 'CGK')",4
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('BTH', 'DPS')",1
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,PDG,Minangkabau International Airport,Padang,Indonesia,"('BTH', 'PDG')",2
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,"('BTH', 'PKU')",2
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,PNK,Supadio Airport,Pontianak,Indonesia,"('BTH', 'PNK')",1
JT,BTH,Hang Nadim International Airport,Batam,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('BTH', 'SUB')",2
JT,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('BTJ', 'CGK')",2
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BDJ,Syamsudin Noor Airport,Banjarmasin,Indonesia,"('BDJ', 'CGK')",4
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BPN,Sultan Aji Muhamad Sulaiman Airport,Balikpapan,Indonesia,"('BPN', 'CGK')",5
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTH,Hang Nadim International Airport,Batam,Indonesia,"('BTH', 'CGK')",4
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,BTJ,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,"('BTJ', 'CGK')",2
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DJJ,Sentani International Airport,Jayapura,Indonesia,"('CGK', 'DJJ')",3
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,"('CGK', 'DPS')",7
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('CGK', 'LOP')",2
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,MDC,Sam Ratulangi Airport,Manado,Indonesia,"('CGK', 'MDC')",3
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PDG,Minangkabau International Airport,Padang,Indonesia,"('CGK', 'PDG')",4
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKU,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru,Indonesia,"('CGK', 'PKU')",6
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PKY,Tjilik Riwut Airport,Palangkaraya,Indonesia,"('CGK', 'PKY')",2
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,PNK,Supadio Airport,Pontianak,Indonesia,"('CGK', 'PNK')",3
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,SUB,Juanda International Airport,Surabaya,Indonesia,"('CGK', 'SUB')",6
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,TRK,Juwata Airport,Taraken,Indonesia,"('CGK', 'TRK')",1
JT,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('CGK', 'UPG')",4
JT,DJJ,Sentani International Airport,Jayapura,Indonesia,UPG,Hasanuddin International Airport,Ujung Pandang,Indonesia,"('DJJ', 'UPG')",3
JT,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,BTH,Hang Nadim International Airport,Batam,Indonesia,"('BTH', 'DPS')",1
JT,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,"('CGK', 'DPS')",7
JT,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,LBJ,Komodo Airport,Labuhan Bajo,Indonesia,"('DPS', 'LBJ')",2
JT,DPS,Ngurah Rai (Bali) International Airport,Denpasar,Indonesia,LOP,Lombok International Airport,Praya,Indonesia,"('DPS', 'LOP')",2
